با																				
بابه‌گه‌وره‌																				
بابەت	issue	subject	theme	topic																
بابەتی	objective																			
باج	badge	badged	custom	duty	excise	scot	tax													
باخچە	garden																			
باخەڵ	pocket																			
بادان	sprain	whirl	wind																	
بادانەوە	turn																			
بادە	booze	wine																		
بار	burden	case	fare	load	phase	state														
باردۆخ	case																			
بارستە																				
بارگە	baggage	charge																		
بارووت	powder																			
باریک	slender	slim	thin																	
بارین	fall																			
بارەگه	domicile																			
بازاڕ	bazaar	market	sale																	
بازرگانی	commerce	deal	trade																	
بازنە	ring																			
باژێر	city																			
باژێڕ	town																			
باس	issue	matter	theme																	
باسکردن	define	describe	discourse																	
باش	fast	faultless	favorable	favoring	favour	feat	fluent	great	well											
باشتربوون	excel	surpass																		
باشترکردن	enrich	upgrade																		
باشترین	champion	finest	greatest	top																
باشکردن	improve																			
باشی	fantastical	favorableness	favourably	fluency	goodness	improvement	merit	privilege												
باک	fear																			
باکردن	swell	swelling																		
بالۆرەلێدان	cheer																			
باڵ	arm																			
باڵانس	balance																			
باڵنده	bird																			
باڵەخانه	building	flat																		
بان	apr	surface																		
بانک	bank																			
بانگێشتنامه																				
بانگەشه																				
بانگەشەکردن	allegation	maintain																		
بانێو																				
بانێۆ																				
باهۆ	balcony																			
باو	canonical	common	convention	current	everyday	familiar	fashion	popular	prevalence	usual	widespread									
باوباران																				
باوبەفر	flurry																			
باوکردن	promote																			
باوەڕپێبوون																				
باوەڕهێنان																				
باوەشێن	fan																			
بایۆگرافی																				
بایی	merit	price	value																	
بایەخ	heed	importance																		
ببینە																				
بچووک	kid	little	micro	minor	minute	slight	small													
بچیک																				
براده‌ر	feller																			
برادەر	buddy																			
برادەرێتی	friendship																			
بردن	carry	mugger	nick	take																
برژاندن	bake	fry	grilling	roast																
برسێتی	hunger	hungry	starvation																	
بریقە	flash	gloss																		
بریقەدان	flash																			
بریکار	administrator	agent																		
بریکارنامه	authorization	proxy																		
برین	hurt	injury	stab	ulcer																
بریندار	hurt	injured	wounded																	
برینداربون	injury																			
بریندارکردن	injure	maim																		
برینگەری	operation																			
برەوپێدان	promote																			
بڕ																				
بڕاندنەوە	decide																			
بڕبڕە	backbone	bone																		
بڕگە	item	paragraph																		
بڕوا	faith	opinion																		
بڕواپێکراو	responsible	standing	trusted	valid																
بڕواکردن	believe																			
بڕوانامە	acknowledgment	certificate	license	testimony																
بڕوسکە	flash																			
بڕیار	decision	order																		
بڕیاردان	decide	intend	judgement																	
بڕین	crop	crossover	cut	intersect	omission	penetrate	pink	stop												
بڕینه‌وه‌	fell																			
بڕینەوه																				
بزاڤ																				
بزدینۆک	danger																			
بزربوون	disappear	vanish																		
بزرکردن	miss																			
بزمار																				
بزووتن	travel																			
بزووتنەوە	movement																			
بزوێن																				
بزێو	animation	crisp																		
بژاردن	compensation	reimburse																		
بژاره	choice	fine																		
بژاڵی	anxiety																			
بسڕەوە																				
بڤە	ambushed	danger	snare																	
بلاوێن	fun																			
بلوور																				
بڵاڤۆک	press																			
بڵاوکراوه																				
بڵاوکراوە	post	publication																		
بڵاوکردنەوه	distribution																			
بڵاوکردنەوە	announcement	circulate	deal	deploy	diffusion	distribute	issue	publish	spread											
بڵیندکردن	elevate																			
بن																				
بناخەدانان	initiate																			
بناغه‌																				
بنبڕکردن																				
بنجی	radical																			
بنچینە	ground	origin																		
