زۆر	abundance	abundant	ample	copious	deal	duress	extra	greatly	jolly	lot	many	much	multi	numerous	plentiful	richly	so	too	vast	very
گونجاو	applicable	appropriate	consistent	convenient	coordination	favourable	feat	fit	flexible	judicious	logical	perfect	possible	practical	proper	reasonable	suitable			
تەواو	accurate	complete	correct	definite	enough	exact	fast	impeccable	perfect	precise	pure	thorough	undivided	utter	valid	whole				
دەرخستن	betray	develope	disclose	discover	display	exhibit	expose	extract	presentation	pronounce	reveal	showcasing	state	uncover	unmask	unveil				
بەش	chapter	component	department	division	lot	panel	part	party	passage	piece	quota	section	share	township	zone					
سەرکەوتن	achieve	achievement	attainable	conquer	conquering	hit	pass	prosper	qualify	success	surpassing	thrive	victory	win						
فێڵباز	astute	crafty	cunning	deceitful	deceiver	designing	disingenuous	hollow	illusionist	insidious	rook	sly	tricky	wily						
ئاسایی	accustomed	cordial	customary	everyday	habitual	household	mediocre	normal	normally	ordinary	regular	routine	standard	usual						
چاودێر	censor	controller	guardian	invigilator	lookout	observant	observer	supervisor	tutor	warden	watcher	watchful	watchman							
پاراستن	backup	conservation	defence	keep	maintain	maintenance	preserve	protect	protection	retain	safeguard	save	security							
سڕینەوە	abrogation	cancel	clean	delete	deletion	dust	eliminate	erase	omit	remove	unlink	wipe								
ئاشکراکردن	betray	decryption	develope	disclose	disclosure	expose	finding	reveal	revelation	uncover	unmask	utter								
لابردن	banish	cancel	censor	discard	eliminate	elimination	omission	omit	oust	quash	remove	transplant								
گرتن	apprehend	apprehension	capture	catch	catching	clutch	confine	detain	keep	obtain	shut	take								
باو	canonical	common	convention	current	everyday	familiar	fashion	popular	prevalence	usual	widespread									
سەرەتایی	basic	early	elementary	first	fundamental	initial	penciled	primal	primary	provisional	rudimental									
جوان	aesthetic	appealing	cute	elegant	fancy	fetching	handsome	pretty	sensuous	yummy										
کار	acquire	action	employment	factoring	job	labor	matter	task	vocation	work										
تێگەیشتن	absorb	comprehend	conception	follow	learn	perception	sense	understand	understanding	wit										
پشکنین	check	control	inspect	inspection	investigate	probe	scan	search	treat	verify										
دۆخ	case	fare	mode	mood	phase	process	state	status	stem	vein										
خێرا	express	fast	hasty	prompt	quick	rapidly	smart	soon	swift	urgent										
تێکدان	corrupt	destruction	disrupt	disturb	falsify	ruin	sabotage	sabotaging	shuffle	upset										
کەم	coal	infrequent	less	little	minor	partial	scarce	slender	slight	unsatisfactory										
ترسناک	creepy	danger	dangerous	fearful	fearsome	frightful	horrible	horror	scary	unsafe										
نهێنی	clandestine	classified	code	confidential	crusaders	mystery	privileged	secrecy	secret	undercover										
زیرەک	astute	bright	clever	crafty	disingenuous	ingenious	intelligent	knowing	sharp	smart										
گرنگ	chief	eventful	fateful	grand	grave	important	prominent	relevant	sensitive	significant										
گەورە	big	bouncing	chief	extensive	grand	great	major	massive	max	noble										
