abandon	  واز لێهێنان	بەجێهێشتن	دەست لەکارکێشانەوە	چۆڵکردن	خستنە لاوە									
abase	  بە چاوی سووک سەیری دەکات	بێنرخ دەکات	سووکایەتی پێدەکات											
abate														
abbreviate	  کورتکردنەوە													
abdomen	  هورگ	زگ	گەده	ورگ										
abidance														
abide	  مانەوە	نەگۆڕان	خایاندن	دواکەوتن	شوێن کەوتن	نیشتەجێ بوون	بەرگەگرتن							
ability	  توانا	لێهاتوویی												
abjuration														
abnormalcy														
abnormality	  ناوازەیی	نائاسایی	ئاوڕێیی	لادانی	دوور له سروشتی									
abode	  ماڵ	شوێنی دانیشتن:بارەگا												
abort	  لە باربردن													
about-face														
abridge	  کورتکردنەوە													
absence	  بزری	لەوێ‌نەبوون	ئامادە نەبوون	نادیاری										
absorb	  مژین	هەڵمژین	ڕاکێشان	هەڵمژان	ڕاکێشران	تێگەیشتن								
absorption														
abstain														
abstinence														
abstract	  واتایی	مەعنەوی	دەرهەست	ئەبستراکت	ناخۆیا	ناپتەوه	هەڵماڵیاو							
abstractedness														
abstraction														
absurdity														
abuse	  کەڵکاوەژوو	بەکارهێنانی نابەجێ	بەد بەکارهێنان	کرداری خراپ کردن	دەستدرێژی کردن	جنێودان	خوەسندان	سخێف گوتن						
academic	  ئەکادیمی													
academician														
accelerate	  تاودان	لەزپێدان	گوڕپێدان	تاوسەندن	لەزگرتن	گوڕگرتن								
accent	  جە‌خت	هێز												
accentuate														
accept	  پەسەند دەکات	ڕێ دەدات	وەردەگرێت	قەبووڵ دەکات	ڕازی دەبێت									
access	  چوونەناو	دەستپێگەیشتن	ڕێی چوونەژوورەوە یاتێپەڕبوون	مافی چوونەناو یان چوونەژوورەوە										
accident	  ڕووداو	پێشهات												
accommodate														
accompany														
accomplish	  بەدەست هێنان	گەیشتن بە												
accomplishment														
accord	  ڕێکەوتن	بەند	هاوپەیمانی	ڕێکەوتننامە										
accost														
account	  هەژمار													
accrual														
accruement														
acculturation														
accumulate	  کۆدەکاتەوە													
accumulation														
accustom														
ace														
ache	  ئێش	ئازار												
achieve	  بەدەست هێنان	سەرکەوتن	دەستکەوت											
achievement														
acid	  ترش													
acknowledgement														
acknowledgment	  ڕاستاندن	پشت ڕاستکردنەوە	پێزانین	سوپاس گوزاری	بڕوانامە									
acme														
acquaint														
acquaintance														
acquire	  بەدەست هێنان	فێربوون	کار	دەست کەوتن										
acquirement														
acquiring														
acquisition	  بەدەستهێنان	دەستکەوتن												
acquit	  بێ‌تاوان دەرچوون	پاکانە کردن	رزگار بوون											
acres														
act	  هەڵس وکەوت	کردار	کردەوە											
acting														
action	  کردار	کردەوە	کار											
activeness														
activity	  چالاکی	جووڵان	مژوولی											
actor	  ئەکتەر	زارڤەکەر												
actualisation	  هێنانەدی													
actualise														
actuality														
actualization														
actualize														
actuation														
acute	  تیژ													
adapt	  سازکردن	گونجاندن	ڕاهاتن	خۆڕاهێنان										
add	  زۆرکردن													
addition	  کۆ	کۆکردنەوه	سەربارکردن	خستنەسەر	زیاد	زێده								
add-on	  زیادکراو	زیاترکەر												
address	  ناونیشان													
adept	  کارامە													
adhere	  پێگیری دەکا													
adherence														
adherent														
adhesion														
adhesive														
adjoin														
adjudge														
adjudicate														
adjudicator	  ڕازی کەر	ناوبژیوان (دادوەری دەرەوەی تاوان)												
adjust														
adjustment	  وردەکاری	ڕێکخستن												
ad-lib														
administer	  کاردەگێرێ	بەڕێوەبردن												
administrate														
administration	  بەڕێوبەرایەتی	ئیدارە	دامودەزگا	دەزگای حکوومەت	ماوەی حکوومەت									
administrator	  ‌‌بەڕێوبەر	بریکار												
admire	  بەدڵ بوون	پەسەندکردن												
admit	  دان پیانان													
adopt	  هەڵگرتنەوە	بەکوڕکردن												
adornment														
adult	  بالغ	گەییو												
advance	  پێشکەوتوو													
advancement	  بەرەوپێش بردن	بەرەوپێشوەچوون												
advantage	  ئەدگار	سوود	بەرژەوەندی											
advent	  هاتن													
adventure	  سەرکەشی	سەربورد	سەربووری											
advertise	  رێکلام کردن													
advertize														
advice	  ئامۆژگاری													
advise	  ئامۆژگاری کردن	راوێژ کردن												
advocate	  پارێزەر													
advocator														
aegis														
aerodrome														
aerophyte														
aeroplane	  فڕۆکە													
affair	  کاروبار	مەسەلە												
affaire														
affect	  کارتێ کردن	هەست جوڵاندن												
affection	  سۆز	خۆشەویستی												
affectionateness														
affinity	  نزیکایەتی	خزمایەتی	بەندیواری	مەیل										
affirm	  دان پێدانان	بەڕاست لەقەڵەمدان	سەلماندن	دووپاتکردنەوە	پێ لەسەردانان									
affix														
affliction														
affluence														
afford	  توانای ماڵیی بەخشین	پێدان												
affright														
affront	  سوکایەتی پێکردن													
aftermath	  ئاکام	ئەنجام	ئاسەوار	ماوەی دوای کارەساتێک	شۆن و بەری ڕووداو									
afternoon	  پاشنیوەڕۆ	دوانیوەڕۆ												
afters														
age	  تەمەن													
agency	  بریکارێتی													
agent	  بریکار													
agglomeration														
aggrandisement														
aggrandizement														
aggravate	  گرژبوون	توندبوون												
aggregate	  کۆمەڵ	ئاپوره	گرووپ	دەسته	کۆبوونەوه									
aggregation														
aggression	  دوژمنکاری	رەفتاری شەڕانی	پەلامار											
agitate	  دەهەژێنێ													
agitation	  پەشۆکاوی													
agnise														
agnize														
agree	  ڕازی بوون	قایل بوون	مل دان											
